Name,TotalApps,TotalAdmit,TotalEnroll,SATPercent,ACTPercent,SAT25,SAT75,ACT25,ACT75,AssocDegree,PercentAdmit,Tuition14,InStateTuition14,OutofStateTuition14,State,Region,Type,Location,UnderGradEnroll,FTUnderGradEnroll,PTUnderGradEnroll,BlackPercent,LatinPercent,WomenPercent,4yrGradRate,5yrGradRate,6yrGradRate,FinAidPercent,AnyFinAidPercent,FedGrantPercent,PellGrantPercent
Berry College,3901,2353,672,47,53,530,640,24,29,0,60,29090,43834,43834,Georgia,Southeast,Private,Small Suburb,2141,2107,34,4,6,62,50,58,60,100,100,31,31
Bethany College,1736,859,185,62,56,380,530,17,24,0,49,25736,39082,39082,West Virginia,Southeast,Private,Fringe Rural,693,690,3,20,3,44,39,45,48,100,99,53,51
Bethany College,1139,670,184,29,77,390,510,18,23,0,59,23305,35205,35205,Kansas,Plains,Private,Remote Town,665,603,62,12,11,40,27,38,39,98,98,45,45
Bethel College-Indiana,1242,889,250,70,59,440,550,20,27,85,72,24970,35430,35430,Indiana,Great Lakes,Private,Small City,1655,1302,353,12,6,66,47,63,65,100,100,55,54
Bethel College-North Newton,854,550,123,24,76,390,520,19,26,0,64,23500,35170,35170,Kansas,Plains,Private,Distant Town,482,464,18,13,10,51,39,48,53,100,97,48,48
Bethel University,2118,2009,612,8,95,490,640,22,28,22,95,31760,44300,44300,Minnesota,Plains,Private,Large Suburb,3280,2614,666,6,2,63,63,71,71,100,100,28,25
Bethel University,2669,1362,637,2,49,390,510,17,22,6,51,15714,30196,30196,Tennessee,Southeast,Private,Distant Town,5124,3971,1153,37,1,56,11,25,30,94,91,76,76
Bethune-Cookman University,7429,4948,1022,49,64,370,460,15,18,0,67,14410,27058,27058,Florida,Southeast,Private,Small City,3724,3611,113,89,3,59,23,43,49,99,96,81,80
Biola University,4816,3509,903,85,40,500,620,22,27,0,73,32142,46624,46624,California,Far West,Private,Large Suburb,4331,4184,147,2,17,62,49,64,68,96,93,28,28
Birmingham Southern College,1931,1240,356,32,82,520,630,23,29,0,64,30690,45470,45470,Alabama,Southeast,Private,Midsize City,1188,1167,21,9,3,46,53,60,62,98,97,21,21
Black Hills State University,957,854,619,5,89,423,635,19,23,26,89,7617,17862,19862,South Dakota,Plains,Public,Distant Town,4002,2487,1515,1,4,63,11,27,31,92,69,43,39
Blackburn College,528,359,116,4,94,520,570,19,25,0,68,18506,26616,26616,Illinois,Great Lakes,Private,Distant Town,543,523,20,9,1,58,34,45,45,99,97,59,59
